COPPos,ID,,,,,
-1468.534371,3099.80545,491.2724012,2749.269278,0,,
-1445.265326,3097.137138,645.9192321,2895.452247,0,,
-1375.583327,3089.610738,614.022168,2883.274982,0,,
-1379.243957,3097.832647,621.8588284,2892.455034,0,,
-1467.456327,3114.680344,635.9280091,2892.055212,0,,
-1455.717232,3105.633659,632.1097932,2857.707335,0,,
-1459.931699,3097.779753,635.1442668,2837.801756,0,,
-1429.447607,3136.636501,630.5513721,2804.519157,0,,
-1445.297245,3039.853855,625.1897481,2823.367928,0,,
-1414.892224,2995.952856,619.0551605,2817.378108,0,,
-1421.508986,2977.486562,750.9535066,2732.837259,0,,
-1455.619274,2998.401355,741.6641294,2732.507881,0,,
-1467.693094,2968.664691,611.6754938,2861.25044,0,,
-1433.23399,2914.375295,0,,,,
-1464.215317,2964.338435,1037.104939,2521.298146,152.3113258,3234.087346,0
-1463.09225,2910.69464,1038.2421,2526.231662,138.5277427,3268.426169,0
-1494.728731,2987.80465,1048.686474,2489.436567,138.9814362,3281.418249,0
-1498.281165,2988.709424,1053.161745,2497.300771,133.6548009,3304.55882,0
-1495.784217,2983.808888,1047.901291,2486.515242,134.0386954,3315.552119,0
-1464.756055,2883.711703,1048.549265,2485.697758,133.4532545,3333.713319,0
-1465.733697,2885.457453,1046.133432,2479.671553,133.8894982,3346.205704,0
-1460.339666,2875.30352,1056.403812,2471.608422,138.0036248,3373.745957,0
-1458.739582,2872.192008,1066.851749,2471.375467,138.2304715,3380.241997,0
-1457.110833,2868.53413,1074.099094,2455.252029,157.4127608,3375.679524,0
-1441.953365,2871.26565,1067.023089,2437.085857,162.0483048,3379.568393,0
-1442.512335,2872.103231,1066.23651,2402.527859,158.4849614,3411.601682,0
-1448.929814,2853.793641,1050.014768,2362.178886,162.7866864,3454.187397,0
-1445.39339,2846.622399,1042.477378,2345.303251,163.7899323,3477.165506,0
-1441.409612,2837.996631,1031.633868,2316.229666,149.3527823,3420.741111,0
-1440.775685,2836.63717,1027.419104,2305.529864,151.228416,3463.700184,0
-1428.357916,2810.997526,1015.444108,2274.772859,123.3348213,3531.847183,0
-1438.254746,2871.644332,1014.023086,2243.591912,140.1284993,3562.896715,0
-1410.147874,2772.606197,1010.571711,2234.735291,124.2825915,3575.114201,0
-1422.82966,2840.008524,1002.090616,2212.801348,124.6183956,3586.605541,0
-1425.98416,2798.651492,998.3063772,2178.717224,108.6969246,3607.679009,0
-1426.43815,2799.542499,993.4593199,2167.197676,77.4893332,3625.480213,0
-1442.502668,2771.021843,990.6527085,2160.239634,77.43697399,3631.479984,0
-1358.105757,2603.001031,997.3868249,2128.06346,61.01045682,3659.261753,0
-1469.740865,2699.496651,992.6492849,2117.036613,60.95812087,3658.263123,0
-1370.368975,2568.841812,994.0923554,2120.224198,61.23731684,3650.261905,0
-1461.398964,2656.427699,1009.657242,2140.293273,61.59492107,3661.750408,0
-1362.148054,2527.084348,992.005026,2137.648005,46.26278039,3666.997344,0
-1360.65517,2523.914198,986.7222977,2126.319158,46.70336644,3667.991196,0
-1409.848033,2561.275287,981.4966385,2067.826302,46.48960353,3671.492662,0
-1418.245531,2552.337356,979.7143267,2064.798967,31.23881311,3693.60185,0
-1414.529829,2545.231079,974.4080469,2051.829858,31.04703651,3709.609067,0
-1401.00567,2550.087272,975.2391953,2054.200669,31.22154064,3705.609829,0
-1425.938124,2541.314158,963.0798756,2028.99195,15.1594635,3719.233751,0
-1419.802788,2533.056085,957.5983394,2017.763181,15.53027414,3727.228477,0
-1418.371312,2530.419634,954.6689923,2011.408895,15.88363969,3731.225108,0
-1410.073593,2522.089845,956.39256,2016.67418,2.31E-13,3771,0
-1410.726659,2518.947201,949.6036724,1979.698494,-32.71578158,3748.85725,0
-1411.203818,2519.826018,952.9474815,1944.756142,-65.01021398,3724.432664,0
-1404.263902,2529.855897,947.5487096,1913.050401,-55.81763835,3847.052389,0
-1405.957434,2508.236676,944.5485318,1910.073422,-94.78337987,3874.507345,0
-1403.33306,2503.403182,936.8295007,1854.958152,-94.8226453,3876.006831,0
-1398.608732,2493.309137,928.9187292,1840.489308,-127.2170242,3910.135459,0
-1398.019671,2497.6561,908.8584275,1788.576851,-138.062409,3953.590112,0
-1395.633877,2493.262015,908.8627003,1771.785481,-165.8273838,3950.017064,0
-1391.578027,2485.792069,912.0058667,1760.606832,-154.0035488,3924.841278,0
-1385.281092,2473.174939,893.4512615,1730.318338,-175.2735961,3943.006318,0
-1390.387626,2472.767848,891.045921,1711.860341,-175.5919738,3950.498419,0
-1388.478991,2469.25258,881.8427453,1695.842876,-174.9291345,3938.517757,0
-1371.789386,2448.704317,870.6934927,1675.775363,-175.4917529,3952.003995,0
-1370.35791,2446.067866,865.2635688,1665.665474,-175.8276594,3963.498532,0
-1393.524236,2453.967779,861.3198139,1662.102685,-246.2399568,4060.508944,0
-1392.312212,2451.78123,867.5421088,1652.675352,-226.0430554,3979.239996,0
-1383.243437,2433.217403,866.1984878,1649.433166,-222.8976721,3983.992152,0
-1382.516223,2431.905473,864.1789242,1644.854699,-260.2224603,4059.432938,0
